answer	qid
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-2
The Crow was hugely flattered by this , and just to show the Fox that she could sing she gave a loud caw .	fables-01-3
The fox snatched the cheese , said that the crow was able to sing and the fox said that the crow needed wits .	fables-01-4
The fox came and stood under the tree .	fables-01-5
The fox snatched the cheese , said that the crow was able to sing and the fox said that the crow needed wits .	fables-01-6
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing .	fables-01-7
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-1
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off ; and , having now lost his only means of defense , fell an easy prey to the Lion .	fables-02-2
The lion succeeded in persuading the bull to remove every horn of the bull .	fables-02-3
The bull was grazing in a meadow .	fables-02-4
The lion said to the bull that the lion admired the body of the bull , admired the head of the bull , he admired every shoulder of the bull and admired every thigh of the bull .	fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly .	fables-02-6
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-7
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull .	fables-02-9
The lion planned to trick the bull because the lion was n't able to fight the bull .	fables-02-10
The lion did n't attack the bull because the lion feared sharp every horn of the bull .	fables-02-11
A summit meeting named G20 summit started on eventful today .	blogs-01-1
A summit meeting named G20 summit started on eventful today .	blogs-01-2
The police fired a tear gas at the people and fired a bullet at the people , and the people smashed a window .	blogs-01-3
The police fired a tear gas at the people and fired a bullet at the people , and the people smashed a window .	blogs-01-4
The people rebelled and created riot .	blogs-01-5
The people rebelled and created riot .	blogs-01-6
The people burned a police car and threw a thing at a police .	blogs-01-7
The people burned a police car and threw a thing at a police .	blogs-01-8
The people burned a police car and threw a thing at a police .	blogs-01-9
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-12
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-13
They stayed the night because they were tired .	mc500.train.0.1
Ellen ordered a salad .	mc500.train.0.2
Kristin had soup .	mc500.train.0.3
She traveled from Atlanta .	mc500.train.0.4
Alyssa got to the beach after a long trip .	mc500.train.0.5
They stayed the night because they were tired .	mc500.train.0.6
The girls traded stories and caught up on their lives .	mc500.train.0.7
But she wanted some time to herself at the beach , so she went there first .	mc500.train.0.8
The restaurant had a special on catfish .	mc500.train.0.9
Kristin had soup .	mc500.train.0.10
The girls traded stories and caught up on their lives .	mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .	mc500.train.0.12
